utterance,tagged
Mary was seen after she spoke yesterday and danced by John.,Mary|N was|V seen|V after|P she|Pron spoke|V yesterday|N and|Con danced|V by|P John|N .|. 
Wh-Movement (Short) Variants from 1A,Wh-Movement|A (|( Short|N )|) Variants|V from|P 1A|Q 
Who was she talking to on the phone while patching up the jeans and the shirt with black thread?,Who|WhPron was|V she|Pron talking|V to|To-Inf on|P the|D phone|N while|P patching|V up|Part the|D jeans|N and|Con the|D shirt|N with|P black|A thread|N ?|. 
What hope of finding survivors in the forest with monkeys could there be?,What|WhPron hope|N of|P finding|V survivors|N in|P the|D forest|N with|P monkeys|N could|Mod there|Adv be|V ?|. 
What proof was found by the detective with blood on the floor?,What|WhPron proof|N was|V found|V by|P the|D detective|N with|P blood|N on|P the|D floor|N ?|. 
Whom was hurt by the man with the candle on the mansion?,Whom|N was|V hurt|V by|P the|D man|N with|P the|D candle|N on|P the|D mansion|N ?|. 
Wh-Movement (Long) from 1A,Wh-Movement|A (|( Long|N )|) from|P 1A|Q 
How far do you think they went inside the tunnel and cave with flashing lights?,How|WhAdv far|Adv do|V you|Pron think|V they|Pron went|V inside|P the|D tunnel|N and|Con cave|V with|P flashing|V lights|N ?|. 
How do you think John fixed the car and truck with the purple wrench?,How|WhAdv do|V you|Pron think|V John|N fixed|V the|D car|N and|Con truck|N with|P the|D purple|N wrench|N ?|. 
What did you say that Bill bought yesterday by the river with rocks?,What|WhPron did|V you|Pron say|V that|P Bill|N bought|V yesterday|N by|P the|D river|N with|P rocks|N ?|. 
Why did the boy say he hurt himself with a microphone by the store? ,Why|WhAdv did|V the|D boy|N say|V he|Pron hurt|V himself|Pron with|P a|D microphone|N by|P the|D store|N ?|. 
Dependencies Variants from 1A,Dependencies|N Variants|N from|P 1A|Q 
They arrived first to the palace and the ceremony with horses.,They|Pron arrived|V first|Adv to|To-Inf the|D palace|N and|Con the|D ceremony|N with|P horses|N .|. 
Bill kicked the dog and cat with yellow boots.,Bill|N kicked|V the|D dog|N and|Con cat|N with|P yellow|A boots|N .|. 
Those bananas were eaten by gorillas and monkeys with spoons.,Those|D bananas|N were|V eaten|V by|P gorillas|N and|Con monkeys|N with|P spoons|N .|. 
She was kissed by the man and girl with lipstick on.,She|Pron was|V kissed|V by|P the|D man|N and|Con girl|N with|P lipstick|N on|P .|. 
Ellipsis Variants from 1A,Ellipsis|N Variants|N from|P 1A|Q 
Mary can't go to the store and the building with her cat but John can.,Mary|N ca_n't|N go|V to|To-Inf the|D store|N and|Con the|D building|N with|P her|PosPron cat|N but|Con John|N can|Mod .|. 
"If we can put the fire out with the hose and sand in the garden, we will do so.","If|P we|Pron can|Mod put|V the|D fire|N out|P with|P the|D hose|N and|Con sand|N in|P the|D garden|N ,|, we|Pron will|Mod do|V so|Adv .|. "
"It was said that he gave up during the game in the arcade, and they did too.","It|Pron was|V said|V that|P he|Pron gave|V up|Part during|P the|D game|N in|P the|D arcade|N ,|, and|Con they|Pron did|V too|Adv .|. "
"The mother said she was not visited by the boy in the pier, but his father was.","The|D mother|N said|V she|Pron was|V not|Adv visited|V by|P the|D boy|N in|P the|D pier|N ,|, but|Con his|PosPron father|N was|V .|. "
Lexical and Structural,Lexical|A and|Con Structural|A 
Restrictive Relative Clauses from 1A,Restrictive|A Relative|A Clauses|N from|P 1A|Q 
The drunk man hit the dog and the cat with a bat.,The|D drunk|N man|N hit|V the|D dog|N and|Con the|D cat|N with|P a|D bat|N .|. 
The monkey with a metal spoon is eating the banana.,The|D monkey|N with|P a|D metal|N spoon|N is|V eating|V the|D banana|N .|. 
The guy who was walking was hit by the teller.,The|D guy|N who|WhPron was|V walking|V was|V hit|V by|P the|D teller|N .|. 
The poem written by John was very colorful.,The|D poem|N written|V by|P John|N was|V very|Adv colorful|A .|. 
Non-restrictive Relative Clauses from 1A,Non-restrictive|A Relative|A Clauses|N from|P 1A|Q 
"It is tough to teach syntax, especially to the people who live next door with cranes.","It|Pron is|V tough|A to|To-Inf teach|V syntax|N ,|, especially|Adv to|To-Inf the|D people|N who|WhPron live|V next|A door|N with|P cranes|N .|. "
"John, who looked tepid, saw the gorgon with his shield.","John|N ,|, who|WhPron looked|V tepid|A ,|, saw|V the|D gorgon|N with|P his|PosPron shield|N .|. "
"Susan, sister of Mary, tended to appear cool when she would chase her friends wearing combat boots.","Susan|N ,|, sister|N of|P Mary|N ,|, tended|V to|To-Inf appear|V cool|N when|WhAdv she|Pron would|Mod chase|V her|PosPron friends|N wearing|V combat|N boots|N .|. "
"Cops arrested the people, who were rioting, with clubs.","Cops|N arrested|V the|D people|N ,|, who|WhPron were|V rioting|V ,|, with|P clubs|N .|. "
Subordination (Complementary) from 1A,Subordination|N (|( Complementary|N )|) from|P 1A|Q 
John is at the club built by the company.,John|N is|V at|P the|D club|N built|V by|P the|D company|N .|. 
I wondered if John's building a light spaceship with flowers upset you.,I|Pron wondered|V if|P John|N 's|Pos building|N a|D light|A spaceship|N with|P flowers|N upset|V you|Pron .|. 
It is known that a photo of them is being sold by the club.,It|Pron is|V known|V that|P a|D photo|N of|P them|Pron is|V being|V sold|V by|P the|D club|N .|. 
It was stated that the film had not been that good before release.,It|Pron was|V stated|V that|P the|D film|N had|V not|Adv been|V that|Adv good|A before|P release|N .|. 
Subordination (Adjunct) Variants from 1A,Subordination|N (|( Adjunct|N )|) Variants|N from|P 1A|Q 
He was devastated after they left the ring without candy.,He|Pron was|V devastated|V after|P they|Pron left|V the|D ring|N without|P candy|N .|. 
John will go to the bazaar when he makes enough dough for Mary.,John|N will|Mod go|V to|To-Inf the|D bazaar|N when|WhAdv he|Pron makes|V enough|A dough|P for|P Mary|N .|. 
Bill visited his uncle with a gift in Brazil before he died in a crane accident.,Bill|N visited|V his|PosPron uncle|N with|P a|D gift|N in|P Brazil|N before|P he|Pron died|V in|P a|D crane|A accident|N .|. 
Mary drank some beer and wine that is from the bar before she went home.,Mary|N drank|V some|D beer|N and|Con wine|N that|WhD is|V from|P the|D bar|N before|P she|Pron went|V home|N .|. 
Wh-Movement (Short) Variants from 1A,Wh-Movement|A (|( Short|N )|) Variants|V from|P 1A|Q 
What excuse has he given to have hit the girl with a bat?,What|WhPron excuse|N has|V he|Pron given|V to|To-Inf have|V hit|V the|D girl|N with|P a|D bat|N ?|. 
Who should I talk to today on behalf of students at the club?,Who|WhPron should|Mod I|Pron talk|V to|To-Inf today|N on|P behalf|N of|P students|N at|P the|D club|N ?|. 
Whose car was borrowed after the crash at the bar?,Whose|A car|N was|V borrowed|V after|P the|D crash|N at|P the|D bar|N ?|. 
Whose letter was read next to the students with glasses?,Whose|A letter|N was|V read|V next|A to|To-Inf the|D students|N with|P glasses|N ?|. 
Wh-Movement (Long) from 1A,Wh-Movement|A (|( Long|N )|) from|P 1A|Q 
Who do you think that they were talking to during the meeting on the plane?,Who|WhPron do|V you|Pron think|V that|P they|Pron were|V talking|V to|To-Inf during|P the|D meeting|N on|P the|D plane|N ?|. 
Whose bike did he think had crashed into the wall with bats?,Whose|N bike|N did|V he|Pron think|V had|V crashed|V into|P the|D wall|N with|P bats|N ?|. 
With whom did the man say that he engaged yesterday?,With|P whom|WhPron did|V the|D man|N say|V that|P he|Pron engaged|V yesterday|N ?|. 
Who did you say was pushed by the crane?,Who|WhPron did|V you|Pron say|V was|V pushed|V by|P the|D crane|N ?|. 
Dependencies Variants from 1A,Dependencies|N Variants|N from|P 1A|Q 
I can fish.,I|Pron can|Mod fish|V .|. 
I can sheep.,I|Pron can|Mod sheep|V .|. 
I can paint.,I|Pron can|Mod paint|V .|. 
I eat tacos by my favorite company.,I|Pron eat|V tacos|A by|P my|PosPron favorite|A company|N .|. 
Ellipsis Variants from 1A,Ellipsis|N Variants|N from|P 1A|Q 
This girl will buy dought and flowers with coins and so will she.,This|D girl|N will|Mod buy|V dought|N and|Con flowers|N with|P coins|N and|Con so|Adv will|Mod she|Pron .|. 
I buy film and books with cats but John doesn't.,I|Pron buy|V film|N and|Con books|N with|P cats|N but|Con John|N does|V n't|Adv .|. 
John walked and sang calmly to the lake and Mary did too.,John|N walked|V and|Con sang|V calmly|N to|To-Inf the|D lake|N and|Con Mary|N did|V too|Adv .|. 
"We are all trying to find the pen and solution with instructions, but we cannot.","We|Pron are|V all|D trying|V to|To-Inf find|V the|D pen|N and|Con solution|N with|P instructions|N ,|, but|Con we|Pron can|Mod not|Adv .|. "
